transaction_id,customer_id,amount,merchant_category,channel,device_id,country,txn_hour,is_fraud
1,1051,211.62,utilities,pos_terminal,16376,US,14,0
2,1092,114.94,digital_wallet,mobile_app,10523,CA,23,0
3,1014,64.33,grocery,pos_terminal,12393,US,21,0
4,1071,172.12,digital_wallet,pos_terminal,12593,US,21,0
5,1060,471.74,travel,mobile_app,19945,US,4,0
6,1020,164.99,digital_wallet,web,17240,US,23,0
7,1082,261.8,grocery,pos_terminal,16937,US,0,1
8,1086,352.99,travel,mobile_app,16190,US,3,0
9,1074,185.0,digital_wallet,mobile_app,15240,US,14,0
10,1074,486.03,travel,web,16493,US,19,0
11,1087,481.41,online_retail,pos_terminal,12878,US,18,0
12,1099,129.63,online_retail,pos_terminal,14143,US,2,0
13,1023,251.14,digital_wallet,mobile_app,13644,US,19,0
14,1002,153.93,travel,mobile_app,14432,US,10,0
15,1021,146.0,grocery,web,11276,US,16,0
16,1052,23.26,digital_wallet,web,15811,MX,12,0
17,1001,306.73,online_retail,pos_terminal,10302,US,10,0
18,1087,253.83,online_retail,pos_terminal,10638,US,1,0
19,1029,30.48,digital_wallet,mobile_app,10055,US,8,0
20,1037,142.93,travel,pos_terminal,18717,MX,1,0
21,1001,454.59,online_retail,web,18150,US,20,0
22,1063,123.58,travel,web,12125,US,8,0
23,1059,76.72,online_retail,mobile_app,10364,US,8,1
24,1020,247.28,online_retail,web,16809,US,7,0
25,1032,492.9,utilities,web,14621,US,16,0
26,1075,124.82,online_retail,web,15126,CA,0,0
27,1057,337.71,grocery,web,15122,MX,10,0
28,1021,382.0,digital_wallet,mobile_app,11646,US,7,0
29,1088,122.63,digital_wallet,mobile_app,10918,US,9,0
30,1048,365.47,travel,pos_terminal,12797,MX,6,0
31,1090,187.05,online_retail,web,16506,US,2,1
32,1058,317.99,grocery,pos_terminal,15870,US,2,0
33,1041,318.6,travel,mobile_app,11531,US,17,0
34,1091,270.21,utilities,mobile_app,18172,US,4,1
35,1059,49.69,travel,mobile_app,13345,US,11,0
36,1079,418.47,travel,mobile_app,17673,US,11,0
37,1014,163.79,online_retail,mobile_app,16949,MX,18,0
38,1061,97.33,utilities,mobile_app,16882,MX,5,1
39,1061,25.18,travel,mobile_app,11906,US,1,0
40,1046,297.49,grocery,web,13086,US,11,0
41,1061,340.39,grocery,pos_terminal,18152,MX,18,0
42,1050,13.21,digital_wallet,mobile_app,15750,CA,4,0
43,1054,258.49,utilities,web,18905,US,11,0
44,1063,117.12,utilities,web,11062,MX,16,0
45,1002,324.36,digital_wallet,pos_terminal,11976,CA,16,0
46,1050,91.31,travel,mobile_app,11296,US,9,0
47,1006,347.01,utilities,pos_terminal,16229,US,22,0
48,1020,196.43,grocery,mobile_app,17641,US,16,0
49,1072,468.68,grocery,web,10125,US,14,0
50,1038,73.07,online_retail,web,14632,US,11,0
51,1017,173.83,utilities,web,16288,CA,15,1
52,1003,61.17,travel,web,13596,US,23,0
53,1088,462.72,digital_wallet,pos_terminal,16168,US,18,0
54,1059,439.28,digital_wallet,mobile_app,19795,US,7,0
55,1013,132.68,travel,mobile_app,17561,US,20,0
56,1008,331.69,online_retail,pos_terminal,18258,MX,16,1
57,1089,409.52,digital_wallet,mobile_app,10232,US,22,0
58,1052,279.82,utilities,web,19361,US,4,0
59,1001,267.18,online_retail,mobile_app,16371,US,21,0
60,1083,124.72,utilities,web,14206,US,15,0
61,1091,51.09,grocery,pos_terminal,19685,US,5,0
62,1059,449.12,online_retail,mobile_app,17943,US,7,1
63,1070,450.71,digital_wallet,pos_terminal,16891,US,17,0
64,1043,318.39,online_retail,mobile_app,16738,US,11,0
65,1007,172.82,online_retail,web,12472,US,14,0
66,1046,177.86,online_retail,pos_terminal,12739,US,8,0
67,1034,364.35,online_retail,mobile_app,15401,MX,12,0
68,1077,449.07,utilities,web,11761,US,14,0
69,1080,444.11,grocery,pos_terminal,10876,US,9,0
70,1035,391.04,travel,pos_terminal,13812,US,15,0
71,1049,322.81,online_retail,mobile_app,19504,US,6,0
72,1003,46.65,digital_wallet,mobile_app,11460,US,16,0
73,1001,85.01,online_retail,mobile_app,11733,US,22,0
74,1005,449.78,digital_wallet,web,11605,MX,20,0
75,1053,305.18,utilities,mobile_app,15622,US,21,0
76,1003,9.55,digital_wallet,pos_terminal,16767,US,6,0
77,1053,55.23,travel,pos_terminal,16986,US,13,0
78,1092,333.43,grocery,mobile_app,13517,MX,14,0
79,1062,7.51,digital_wallet,mobile_app,13735,US,20,0
80,1017,84.6,digital_wallet,pos_terminal,19352,US,6,0
81,1089,276.62,grocery,web,18434,US,8,0
82,1043,347.49,travel,mobile_app,12590,US,18,0
83,1033,327.72,online_retail,mobile_app,11063,US,15,0
84,1073,116.01,digital_wallet,pos_terminal,14324,CA,7,0
85,1061,357.53,grocery,mobile_app,19111,US,17,0
86,1099,122.44,utilities,web,15342,US,22,1
87,1013,166.07,grocery,pos_terminal,10005,US,17,0
88,1094,374.51,utilities,mobile_app,17489,US,19,0
89,1047,326.57,travel,pos_terminal,18659,US,6,0
90,1014,425.37,online_retail,mobile_app,18195,US,2,0
91,1071,330.52,grocery,mobile_app,15966,US,17,0
92,1077,286.31,digital_wallet,mobile_app,18837,US,9,0
93,1086,51.37,travel,web,10117,US,6,0
94,1061,187.02,grocery,web,12551,US,16,1
95,1039,136.28,digital_wallet,pos_terminal,15560,US,13,0
96,1084,125.77,grocery,mobile_app,14289,US,23,0
97,1079,486.64,utilities,mobile_app,10846,US,2,0
98,1081,199.58,grocery,web,16316,US,11,0
99,1052,446.56,grocery,mobile_app,16469,CA,12,0
100,1023,317.41,grocery,web,19333,MX,1,0
101,1025,398.43,travel,mobile_app,18915,US,2,0
102,1088,253.81,grocery,pos_terminal,10224,US,4,0
103,1059,290.57,digital_wallet,mobile_app,14208,US,10,0
104,1040,248.8,utilities,mobile_app,16283,US,7,0
105,1028,101.65,utilities,web,12048,US,22,0
106,1014,362.61,grocery,mobile_app,16233,US,22,0
107,1044,143.98,travel,mobile_app,19765,US,11,0
108,1064,17.04,travel,web,11828,US,6,1
109,1088,324.51,digital_wallet,pos_terminal,11917,US,14,0
110,1070,92.67,grocery,pos_terminal,14234,US,23,0
111,1008,470.53,utilities,web,16988,US,16,0
112,1087,477.19,travel,web,12026,US,3,0
113,1000,457.86,grocery,web,13744,US,21,0
114,1007,188.23,travel,web,19093,US,12,0
115,1087,12.65,travel,web,10009,US,17,0
116,1062,464.52,utilities,pos_terminal,10260,US,0,0
117,1010,216.95,online_retail,pos_terminal,16038,US,15,0
118,1080,483.49,digital_wallet,web,19865,US,12,0
119,1007,481.99,digital_wallet,mobile_app,12219,US,9,1
120,1034,427.24,utilities,web,17041,US,11,0
121,1034,150.75,travel,mobile_app,12060,US,1,0
122,1032,195.62,grocery,web,15287,CA,22,1
123,1004,426.31,travel,web,11619,CA,2,0
124,1040,161.88,utilities,pos_terminal,18512,US,9,1
125,1027,88.9,digital_wallet,mobile_app,11342,US,1,0
126,1006,280.62,travel,mobile_app,12832,US,22,0
127,1072,468.4,digital_wallet,pos_terminal,12824,US,12,0
128,1071,349.53,grocery,pos_terminal,11994,CA,12,0
129,1011,287.18,digital_wallet,pos_terminal,13490,US,17,0
130,1033,53.1,digital_wallet,pos_terminal,19310,US,2,0
131,1032,309.43,online_retail,mobile_app,17984,US,6,0
132,1047,495.08,online_retail,mobile_app,11604,US,13,0
133,1022,74.34,online_retail,web,10235,US,19,0
134,1061,261.57,digital_wallet,web,11908,US,16,0
135,1087,439.3,utilities,pos_terminal,18567,US,20,0
136,1036,371.68,digital_wallet,pos_terminal,13530,CA,11,0
137,1098,350.02,utilities,pos_terminal,15256,CA,15,0
138,1043,352.73,utilities,web,12635,US,23,0
139,1085,182.95,online_retail,web,18162,US,11,0
140,1090,150.33,travel,web,19762,US,14,0
141,1034,405.63,grocery,web,12560,US,9,0
142,1064,406.01,online_retail,web,15415,US,6,0
143,1098,434.2,online_retail,web,13391,US,19,0
144,1046,457.05,travel,web,15951,US,4,0
145,1077,258.11,grocery,pos_terminal,15468,US,0,0
146,1002,253.25,digital_wallet,pos_terminal,18007,US,16,1
147,1000,400.16,digital_wallet,pos_terminal,19064,US,2,1
148,1004,326.73,online_retail,pos_terminal,19444,MX,12,0
149,1089,352.47,grocery,web,16413,US,13,0
150,1013,398.92,online_retail,mobile_app,16941,US,23,0
151,1026,445.55,utilities,web,19506,CA,17,0
152,1008,172.31,online_retail,mobile_app,14820,US,3,0
